Euring	Sortering	Artnavn	Latin	English	Status	Type
5340	2680	Lille Kobbersneppe	Limosa lapponica	Bar-tailed Godwit	A	art
5330	2690	Canadisk Kobbersneppe	Limosa haemastica	Hudsonian Godwit	AU	art
5320	2700	Stor Kobbersneppe	Limosa limosa	Black-tailed Godwit	A	art
5610	2730	Stenvender	Arenaria interpres	Ruddy Turnstone	A	art
4960	2740	Islandsk Ryle	Calidris canutus	Red Knot	A	art
5170	2780	Brushane	Calidris pugnax	Ruff	A	art
5140	2790	Kærløber	Calidris falcinellus	Broad-billed Sandpiper	AS	art
5080	2800	Spidshalet Ryle	Calidris acuminata	Sharp-tailed Sandpiper	AU	art
5150	2810	Klireryle	Calidris himantopus	Stilt Sandpiper	AU	art
5090	2820	Krumnæbbet Ryle	Calidris ferruginea	Curlew Sandpiper	A	art
5100	2830	Sortgrå Ryle	Calidris maritima	Purple Sandpiper	A	art
5020	2840	Temmincksryle	Calidris temminckii	Temminck's Stint	A	art
5000	2850	Rødhalset Ryle	Calidris ruficollis	Red-necked Stint	AU	art
4970	2860	Sandløber	Calidris alba	Sanderling	A	art
5120	2870	Almindelig Ryle	Calidris alpina	Dunlin	A	art
5060	2910	Bairdsryle	Calidris bairdii	Baird's Sandpiper	AU	art
5010	2920	Dværgryle	Calidris minuta	Little Stint	A	art
5050	2940	Hvidrygget Ryle	Calidris fuscicollis	White-rumped Sandpiper	AU	art
5160	2950	Prærieløber	Calidris subruficollis	Buff-breasted Sandpiper	AU	art
5070	2960	Stribet Ryle	Calidris melanotos	Pectoral Sandpiper	AS	art
4980	2970	Tyknæbbet Dværgryle	Calidris pusilla	Semipalmated Sandpiper	AU	art
5270	2990	Langnæbbet Sneppeklire	Limnodromus scolopaceus	Long-billed Dowitcher	AU	art
5290	3010	Skovsneppe	Scolopax rusticola	Eurasian Woodcock	A	art
5200	3020	Tredækker	Gallinago media	Great Snipe	AS	art
5190	3030	Dobbeltbekkasin	Gallinago gallinago	Common Snipe	A	art
5180	3040	Enkeltbekkasin	Lymnocryptes minimus	Jack Snipe	A	art
5550	3050	Terekklire	Xenus cinereus	Terek Sandpiper	AU	art
5560	3060	Mudderklire	Actitis hypoleucos	Common Sandpiper	A	art
5570	3070	Plettet Mudderklire	Actitis macularius	Spotted Sandpiper	AU	art
5530	3080	Svaleklire	Tringa ochropus	Green Sandpiper	A	art
